time,open,high,low,close
1732863600,615.81,615.99,602.1,602.36
1732867200,602.4,615.56,602.34,614.27
1732870800,614.32,639.1,612.76,635.38
1732874400,635.26,635.49,621.36,622.5
1732878000,622.41,629.61,622.13,623.21
1732881600,623.21,628.22,619.32,627.12
1732885200,627.09,635.03,620,621.02
1732888800,621.16,624.94,616.67,621
1732892400,621.07,621.09,610,614.41
1732896000,614.38,623.05,612.63,619.04
1732899600,618.95,627.15,616.21,625.56
1732903200,625.34,626.94,617.77,617.9
1732906800,617.65,617.65,612.51,614.85
1732910400,614.92,621.49,613.83,614.54
1732914000,614.53,620.86,614.07,619.92
1732917600,619.63,621.17,616.53,616.54
1732921200,616.5,619.57,614.26,617.56
1732924800,617.51,620.35,610.35,616.17
1732928400,615.93,620.53,610,617.46
1732932000,617.45,618.25,609.92,614.73
1732935600,614.57,618.1,611.9,615.67
1732939200,615.66,621.44,612.25,615.06
1732942800,615.31,620.08,612.83,618.31
1732946400,618.1,621.16,610.26,611.14
1732950000,611.14,620.06,610.12,617.63
1732953600,617.14,618.69,610.42,613.9
1732957200,613.27,624.61,611.43,623.68
1732960800,623.16,627.48,613.46,616.68
1732964400,616.74,632.61,616.42,623.76
1732968000,623.47,638.9,622.75,638.43
1732971600,637.97,647.74,634.22,644.49
1732975200,644.48,664.95,644.47,658.08
1732978800,658.45,680,658,668.13
1732982400,668.19,679,661.16,661.23
1732986000,661.32,665.21,656.66,663
1732989600,663,663,652.24,653.42
1732993200,653.45,657.74,653.21,657.14
1732996800,657.13,662.9,654.71,659.92
1733000400,659.43,660.87,655.5,659.11
1733004000,659.11,664.75,656.57,664.07
1733007600,663.97,679.13,663.39,677.83
1733011200,677.5,678.37,668.21,669.55
1733014800,669.65,675.96,657.61,659.24
1733018400,659.04,663.06,646.04,647.61
1733022000,647.74,655.45,647.74,650.45
1733025600,650.93,658.83,650.14,655.45
1733029200,655.76,656.71,647.66,648.26
1733032800,648.34,651.46,646.56,647.33
